2024-02-27 06:34:40,590 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Configure stats pid to 22048
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Loading settings from C:\Users\vegag\.config\wandb\settings
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Loading settings from D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\settings
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'OptimizationC6_Task1_1', 'entity': 'c3-uab-mcv', 'root_dir': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1', 'run_id': 'jd3gm56v', 'sweep_param_path': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\wandb\\sweep-3a3i2xj4\\config-jd3gm56v.yaml', 'sweep_id': '3a3i2xj4'}
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week1\\optimization_task1_1.py', 'program_abspath': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py', 'program': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py'}
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_init.py:_log_setup():526] Logging user logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_063440-jd3gm56v\logs\debug.log
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_init.py:_log_setup():527] Logging internal logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_063440-jd3gm56v\logs\debug-internal.log
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_init.py:init():566] calling init triggers
2024-02-27 06:34:40,591 INFO    Thread-348:22048 [wandb_init.py:init():573] wandb.init called with sweep_config: {'alpha': 13.534767509032523, 'kernel_size': 7}
config: {}
2024-02-27 06:34:40,592 INFO    Thread-348:22048 [wandb_init.py:init():616] starting backend
2024-02-27 06:34:40,592 INFO    Thread-348:22048 [wandb_init.py:init():620] setting up manager
2024-02-27 06:34:40,595 INFO    Thread-348:22048 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-27 06:34:40,596 INFO    Thread-348:22048 [wandb_init.py:init():628] backend started and connected
2024-02-27 06:34:40,603 INFO    Thread-348:22048 [wandb_run.py:_config_callback():1343] config_cb None None {'alpha': 13.534767509032523, 'kernel_size': 7}
2024-02-27 06:34:40,603 INFO    Thread-348:22048 [wandb_init.py:init():720] updated telemetry
2024-02-27 06:34:40,694 INFO    Thread-348:22048 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-27 06:34:41,064 INFO    Thread-348:22048 [wandb_run.py:_on_init():2262] communicating current version
2024-02-27 06:34:41,147 INFO    Thread-348:22048 [wandb_run.py:_on_init():2271] got version response 
2024-02-27 06:34:41,147 INFO    Thread-348:22048 [wandb_init.py:init():804] starting run threads in backend
2024-02-27 06:34:41,258 INFO    Thread-348:22048 [wandb_run.py:_console_start():2241] atexit reg
2024-02-27 06:34:41,258 INFO    Thread-348:22048 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-27 06:34:41,258 INFO    Thread-348:22048 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-27 06:34:41,258 INFO    Thread-348:22048 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-27 06:34:41,258 INFO    Thread-348:22048 [wandb_init.py:init():847] run started, returning control to user process
2024-02-27 06:39:05,490 INFO    Thread-348:22048 [wandb_run.py:_finish():1970] finishing run c3-uab-mcv/OptimizationC6_Task1_1/jd3gm56v
2024-02-27 06:39:05,490 INFO    Thread-348:22048 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-27 06:39:05,491 INFO    Thread-348:22048 [wandb_run.py:_restore():2193] restore
2024-02-27 06:39:05,491 INFO    Thread-348:22048 [wandb_run.py:_restore():2199] restore done
2024-02-27 06:39:10,709 INFO    Thread-348:22048 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-27 06:39:10,709 INFO    Thread-348:22048 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-27 06:39:10,712 INFO    Thread-348:22048 [wandb_run.py:_footer_sync_info():3825] logging synced files
