2024-02-27 09:57:36,200 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-27 09:57:36,201 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Configure stats pid to 3740
2024-02-27 09:57:36,201 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Loading settings from C:\Users\vegag\.config\wandb\settings
2024-02-27 09:57:36,201 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Loading settings from D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\settings
2024-02-27 09:57:36,201 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'OptimizationC6_Task2_1v1', 'entity': 'c3-uab-mcv', 'root_dir': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1', 'run_id': '48ae6wec', 'sweep_param_path': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\wandb\\sweep-s7z561ra\\config-48ae6wec.yaml', 'sweep_id': 's7z561ra'}
2024-02-27 09:57:36,265 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week1\\optimization_task2_1.py', 'program_abspath': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task2_1.py', 'program': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task2_1.py'}
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:_log_setup():526] Logging user logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_095735-48ae6wec\logs\debug.log
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:_log_setup():527] Logging internal logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_095735-48ae6wec\logs\debug-internal.log
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:init():566] calling init triggers
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:init():573] wandb.init called with sweep_config: {'alpha': 2.788245946434545, 'kernel_size': 9, 'rho': 0.32915181845791874}
config: {}
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:init():616] starting backend
2024-02-27 09:57:36,266 INFO    Thread-61 :3740 [wandb_init.py:init():620] setting up manager
2024-02-27 09:57:36,270 INFO    Thread-61 :3740 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-27 09:57:36,271 INFO    Thread-61 :3740 [wandb_init.py:init():628] backend started and connected
2024-02-27 09:57:36,278 INFO    Thread-61 :3740 [wandb_run.py:_config_callback():1343] config_cb None None {'alpha': 2.788245946434545, 'kernel_size': 9, 'rho': 0.32915181845791874}
2024-02-27 09:57:36,279 INFO    Thread-61 :3740 [wandb_init.py:init():720] updated telemetry
2024-02-27 09:57:36,401 INFO    Thread-61 :3740 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-27 09:57:36,805 INFO    Thread-61 :3740 [wandb_run.py:_on_init():2262] communicating current version
2024-02-27 09:57:36,869 INFO    Thread-61 :3740 [wandb_run.py:_on_init():2271] got version response 
2024-02-27 09:57:36,869 INFO    Thread-61 :3740 [wandb_init.py:init():804] starting run threads in backend
2024-02-27 09:57:36,995 INFO    Thread-61 :3740 [wandb_run.py:_console_start():2241] atexit reg
2024-02-27 09:57:36,995 INFO    Thread-61 :3740 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-27 09:57:36,995 INFO    Thread-61 :3740 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-27 09:57:36,995 INFO    Thread-61 :3740 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-27 09:57:36,996 INFO    Thread-61 :3740 [wandb_init.py:init():847] run started, returning control to user process
2024-02-27 10:08:44,365 INFO    Thread-61 :3740 [wandb_run.py:_finish():1970] finishing run c3-uab-mcv/OptimizationC6_Task2_1v1/48ae6wec
2024-02-27 10:08:44,365 INFO    Thread-61 :3740 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-27 10:08:44,365 INFO    Thread-61 :3740 [wandb_run.py:_restore():2193] restore
2024-02-27 10:08:44,365 INFO    Thread-61 :3740 [wandb_run.py:_restore():2199] restore done
2024-02-27 10:08:50,905 INFO    Thread-61 :3740 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-27 10:08:50,905 INFO    Thread-61 :3740 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-27 10:08:50,908 INFO    Thread-61 :3740 [wandb_run.py:_footer_sync_info():3825] logging synced files
