2024-02-27 19:48:51,232 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Configure stats pid to 15780
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Loading settings from C:\Users\vegag\.config\wandb\settings
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Loading settings from D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\settings
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'OptimizationC6_Task1_1v1', 'entity': 'c3-uab-mcv', 'root_dir': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1', 'run_id': 'whj82fwe', 'sweep_param_path': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\wandb\\sweep-0p12krha\\config-whj82fwe.yaml', 'sweep_id': '0p12krha'}
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week1\\optimization_task1_1.py', 'program_abspath': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py', 'program': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py'}
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_init.py:_log_setup():526] Logging user logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_194851-whj82fwe\logs\debug.log
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_init.py:_log_setup():527] Logging internal logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_194851-whj82fwe\logs\debug-internal.log
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_init.py:init():566] calling init triggers
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_init.py:init():573] wandb.init called with sweep_config: {'alpha': 14.49497230784985, 'kernel_size': 7}
config: {}
2024-02-27 19:48:51,233 INFO    Thread-873:15780 [wandb_init.py:init():616] starting backend
2024-02-27 19:48:51,234 INFO    Thread-873:15780 [wandb_init.py:init():620] setting up manager
2024-02-27 19:48:51,238 INFO    Thread-873:15780 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-27 19:48:51,238 INFO    Thread-873:15780 [wandb_init.py:init():628] backend started and connected
2024-02-27 19:48:51,246 INFO    Thread-873:15780 [wandb_run.py:_config_callback():1343] config_cb None None {'alpha': 14.49497230784985, 'kernel_size': 7}
2024-02-27 19:48:51,246 INFO    Thread-873:15780 [wandb_init.py:init():720] updated telemetry
2024-02-27 19:48:51,381 INFO    Thread-873:15780 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-27 19:48:51,764 INFO    Thread-873:15780 [wandb_run.py:_on_init():2262] communicating current version
2024-02-27 19:48:51,831 INFO    Thread-873:15780 [wandb_run.py:_on_init():2271] got version response 
2024-02-27 19:48:51,831 INFO    Thread-873:15780 [wandb_init.py:init():804] starting run threads in backend
2024-02-27 19:48:51,962 INFO    Thread-873:15780 [wandb_run.py:_console_start():2241] atexit reg
2024-02-27 19:48:51,963 INFO    Thread-873:15780 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-27 19:48:51,963 INFO    Thread-873:15780 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-27 19:48:51,963 INFO    Thread-873:15780 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-27 19:48:51,963 INFO    Thread-873:15780 [wandb_init.py:init():847] run started, returning control to user process
2024-02-27 19:53:19,967 INFO    Thread-873:15780 [wandb_run.py:_finish():1970] finishing run c3-uab-mcv/OptimizationC6_Task1_1v1/whj82fwe
2024-02-27 19:53:19,967 INFO    Thread-873:15780 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-27 19:53:19,967 INFO    Thread-873:15780 [wandb_run.py:_restore():2193] restore
2024-02-27 19:53:19,967 INFO    Thread-873:15780 [wandb_run.py:_restore():2199] restore done
2024-02-27 19:53:26,275 INFO    Thread-873:15780 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-27 19:53:26,276 INFO    Thread-873:15780 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-27 19:53:26,279 INFO    Thread-873:15780 [wandb_run.py:_footer_sync_info():3825] logging synced files
