2024-02-27 20:53:53,814 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Configure stats pid to 3740
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Loading settings from C:\Users\vegag\.config\wandb\settings
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Loading settings from D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\settings
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'OptimizationC6_Task2_1v1', 'entity': 'c3-uab-mcv', 'root_dir': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1', 'run_id': 'mrwcvilo', 'sweep_param_path': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\wandb\\sweep-s7z561ra\\config-mrwcvilo.yaml', 'sweep_id': 's7z561ra'}
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week1\\optimization_task2_1.py', 'program_abspath': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task2_1.py', 'program': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task2_1.py'}
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:_log_setup():526] Logging user logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_205353-mrwcvilo\logs\debug.log
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:_log_setup():527] Logging internal logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240227_205353-mrwcvilo\logs\debug-internal.log
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:init():566] calling init triggers
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:init():573] wandb.init called with sweep_config: {'alpha': 9.73246937850768, 'kernel_size': 7, 'rho': 0.05776244034596956}
config: {}
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:init():616] starting backend
2024-02-27 20:53:53,815 INFO    Thread-488:3740 [wandb_init.py:init():620] setting up manager
2024-02-27 20:53:53,819 INFO    Thread-488:3740 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-27 20:53:53,820 INFO    Thread-488:3740 [wandb_init.py:init():628] backend started and connected
2024-02-27 20:53:53,826 INFO    Thread-488:3740 [wandb_run.py:_config_callback():1343] config_cb None None {'alpha': 9.73246937850768, 'kernel_size': 7, 'rho': 0.05776244034596956}
2024-02-27 20:53:53,826 INFO    Thread-488:3740 [wandb_init.py:init():720] updated telemetry
2024-02-27 20:53:53,933 INFO    Thread-488:3740 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-27 20:53:54,452 INFO    Thread-488:3740 [wandb_run.py:_on_init():2262] communicating current version
2024-02-27 20:53:54,542 INFO    Thread-488:3740 [wandb_run.py:_on_init():2271] got version response 
2024-02-27 20:53:54,542 INFO    Thread-488:3740 [wandb_init.py:init():804] starting run threads in backend
2024-02-27 20:53:54,669 INFO    Thread-488:3740 [wandb_run.py:_console_start():2241] atexit reg
2024-02-27 20:53:54,669 INFO    Thread-488:3740 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-27 20:53:54,669 INFO    Thread-488:3740 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-27 20:53:54,669 INFO    Thread-488:3740 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-27 20:53:54,669 INFO    Thread-488:3740 [wandb_init.py:init():847] run started, returning control to user process
2024-02-27 21:03:21,766 INFO    Thread-488:3740 [wandb_run.py:_finish():1970] finishing run c3-uab-mcv/OptimizationC6_Task2_1v1/mrwcvilo
2024-02-27 21:03:21,766 INFO    Thread-488:3740 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-27 21:03:21,766 INFO    Thread-488:3740 [wandb_run.py:_restore():2193] restore
2024-02-27 21:03:21,766 INFO    Thread-488:3740 [wandb_run.py:_restore():2199] restore done
2024-02-27 21:03:27,669 INFO    Thread-488:3740 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-27 21:03:27,669 INFO    Thread-488:3740 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-27 21:03:27,673 INFO    Thread-488:3740 [wandb_run.py:_footer_sync_info():3825] logging synced files
