2024-02-28 09:13:38,362 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Configure stats pid to 8796
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Loading settings from C:\Users\vegag\.config\wandb\settings
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Loading settings from D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\settings
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'OptimizationC6_Task1_1v3', 'entity': 'c3-uab-mcv', 'root_dir': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1', 'run_id': 'vw5wurct', 'sweep_param_path': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\wandb\\sweep-tz8j1scj\\config-vw5wurct.yaml', 'sweep_id': 'tz8j1scj'}
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Week1\\optimization_task1_1.py', 'program_abspath': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py', 'program': 'D:\\GithubProject\\mcv-c6-2024-team3\\Week1\\optimization_task1_1.py'}
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_init.py:_log_setup():526] Logging user logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240228_091338-vw5wurct\logs\debug.log
2024-02-28 09:13:38,363 INFO    Thread-740:8796 [wandb_init.py:_log_setup():527] Logging internal logs to D:\GithubProject\mcv-c6-2024-team3\Week1\wandb\run-20240228_091338-vw5wurct\logs\debug-internal.log
2024-02-28 09:13:38,364 INFO    Thread-740:8796 [wandb_init.py:init():566] calling init triggers
2024-02-28 09:13:38,364 INFO    Thread-740:8796 [wandb_init.py:init():573] wandb.init called with sweep_config: {'alpha': 1.496597115862112, 'kernel_close': 7, 'kernel_open': 7}
config: {}
2024-02-28 09:13:38,364 INFO    Thread-740:8796 [wandb_init.py:init():616] starting backend
2024-02-28 09:13:38,364 INFO    Thread-740:8796 [wandb_init.py:init():620] setting up manager
2024-02-28 09:13:38,368 INFO    Thread-740:8796 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-28 09:13:38,368 INFO    Thread-740:8796 [wandb_init.py:init():628] backend started and connected
2024-02-28 09:13:38,375 INFO    Thread-740:8796 [wandb_run.py:_config_callback():1343] config_cb None None {'alpha': 1.496597115862112, 'kernel_close': 7, 'kernel_open': 7}
2024-02-28 09:13:38,376 INFO    Thread-740:8796 [wandb_init.py:init():720] updated telemetry
2024-02-28 09:13:38,497 INFO    Thread-740:8796 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-28 09:13:38,887 INFO    Thread-740:8796 [wandb_run.py:_on_init():2262] communicating current version
2024-02-28 09:13:38,951 INFO    Thread-740:8796 [wandb_run.py:_on_init():2271] got version response 
2024-02-28 09:13:38,951 INFO    Thread-740:8796 [wandb_init.py:init():804] starting run threads in backend
2024-02-28 09:13:39,069 INFO    Thread-740:8796 [wandb_run.py:_console_start():2241] atexit reg
2024-02-28 09:13:39,069 INFO    Thread-740:8796 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-28 09:13:39,069 INFO    Thread-740:8796 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-28 09:13:39,069 INFO    Thread-740:8796 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-28 09:13:39,070 INFO    Thread-740:8796 [wandb_init.py:init():847] run started, returning control to user process
2024-02-28 09:20:54,486 INFO    Thread-740:8796 [wandb_run.py:_finish():1970] finishing run c3-uab-mcv/OptimizationC6_Task1_1v3/vw5wurct
2024-02-28 09:20:54,486 INFO    Thread-740:8796 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-02-28 09:20:54,486 INFO    Thread-740:8796 [wandb_run.py:_restore():2193] restore
2024-02-28 09:20:54,487 INFO    Thread-740:8796 [wandb_run.py:_restore():2199] restore done
2024-02-28 09:21:01,158 INFO    Thread-740:8796 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-02-28 09:21:01,158 INFO    Thread-740:8796 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-02-28 09:21:01,161 INFO    Thread-740:8796 [wandb_run.py:_footer_sync_info():3825] logging synced files
